(IPv6Address('2600:9000:260b::'), 'MXP')
(IPv6Address('2600:9000:260b::'), 'MXP')
(IPv6Address('2600:9000:260c::'), 'AMS')
(IPv6Address('2600:9000:260c::'), 'AMS')
(IPv6Address('2600:9000:260d::'), 'DXB')
(IPv6Address('2600:9000:260d::'), 'DXB')
(IPv6Address('2600:9000:260e::'), 'MNL')
(IPv6Address('2600:9000:260e::'), 'MNL')
(IPv6Address('2600:9000:260f::'), 'HIO')
(IPv6Address('2600:9000:260f::'), 'HIO')
(IPv6Address('2600:9000:2610::'), 'EZE')
(IPv6Address('2600:9000:2610::'), 'EZE')
(IPv6Address('2600:9000:2611::'), 'VIE')
(IPv6Address('2600:9000:2611::'), 'VIE')
(IPv6Address('2600:9000:2612::'), 'CDG')
(IPv6Address('2600:9000:2612::'), 'CDG')
(IPv6Address('2600:9000:2613::'), 'CDG')
(IPv6Address('2600:9000:2613::'), 'CDG')
(IPv6Address('2600:9000:2614::'), 'OTP')
(IPv6Address('2600:9000:2615::'), 'OTP')
(IPv6Address('2600:9000:2615::'), 'OTP')
(IPv6Address('2600:9000:2616::'), 'ORD')
(IPv6Address('2600:9000:2616::'), 'ORD')
(IPv6Address('2600:9000:2617::'), 'ORD')
(IPv6Address('2600:9000:2617::'), 'ORD')
(IPv6Address('2600:9000:2618::'), 'GRU')
(IPv6Address('2600:9000:261a::'), 'SCL')
(IPv6Address('2600:9000:261a::'), 'SCL')
(IPv6Address('2600:9000:261c::'), 'SCL')
(IPv6Address('2600:9000:261e::'), 'JFK')
(IPv6Address('2600:9000:261f::'), 'JFK')
(IPv6Address('2600:9000:2621::'), 'SCL')
(IPv6Address('2600:9000:2636::'), 'HYD')
(IPv6Address('2600:9000:2638::'), 'BOM')
(IPv6Address('2600:9000:2638::'), 'BOM')
(IPv6Address('2600:9000:263d::'), 'BKK')
(IPv6Address('2600:9000:263d::'), 'BKK')
(IPv6Address('2600:9000:263f::'), 'BKK')
(IPv6Address('2600:9000:263f::'), 'BKK')
(IPv6Address('2600:9000:2641::'), 'FRA')
(IPv6Address('2600:9000:2641::'), 'FRA')
(IPv6Address('2600:9000:2642::'), 'BKK')
(IPv6Address('2600:9000:2642::'), 'BKK')
(IPv6Address('2600:9000:2644::'), 'FRA')
(IPv6Address('2600:9000:2695::'), 'NRT')
(IPv6Address('2600:9000:2695::'), 'NRT')
(IPv6Address('2600:9000:2696::'), 'NRT')
(IPv6Address('2600:9000:2697::'), 'KIX')
(IPv6Address('2600:9000:2697::'), 'KIX')
(IPv6Address('2600:9000:2698::'), 'KIX')
(IPv6Address('2600:9000:2698::'), 'KIX')
(IPv6Address('2600:9000:2699::'), 'KIX')
(IPv6Address('2600:9000:2699::'), 'KIX')
(IPv6Address('2600:9000:269a::'), 'MRS')
(IPv6Address('2600:9000:269a::'), 'MRS')
(IPv6Address('2600:9000:269c::'), 'SGN')
(IPv6Address('2600:9000:269c::'), 'SGN')
(IPv6Address('2600:9000:269e::'), 'ATL')
(IPv6Address('2600:9000:269e::'), 'ATL')
(IPv6Address('2600:9000:269f::'), 'YUL')
(IPv6Address('2600:9000:26a0::'), 'YUL')
(IPv6Address('2600:9000:26a0::'), 'YUL')
(IPv6Address('2600:9000:26a1::'), 'BUD')
(IPv6Address('2600:9000:26a2::'), 'BUD')
(IPv6Address('2600:9000:26c0::'), 'ATL')
(IPv6Address('2600:9000:26c0::'), 'ATL')
(IPv6Address('2600:9000:26c1::'), 'IAD')
(IPv6Address('2600:9000:26c1::'), 'IAD')
(IPv6Address('2600:9000:26c2::'), 'YTO')
(IPv6Address('2600:9000:26c4::'), 'ATL')
(IPv6Address('2600:9000:26c4::'), 'ATL')
(IPv6Address('2600:9000:26c5::'), 'ATL')
(IPv6Address('2600:9000:26c5::'), 'ATL')
(IPv6Address('2600:9000:26c6::'), 'ATL')
(IPv6Address('2600:9000:26c6::'), 'ATL')
(IPv6Address('2600:9000:26c7::'), 'ATL')
(IPv6Address('2600:9000:26c9::'), 'DFW')
(IPv6Address('2600:9000:26ca::'), 'DFW')
(IPv6Address('2600:9000:26f5::'), 'QRO')
(IPv6Address('2600:9000:26f5::'), 'QRO')
(IPv6Address('2600:9000:26f8::'), 'QRO')
(IPv6Address('2600:9000:26f8::'), 'QRO')
(IPv6Address('2600:9000:26fa::'), 'JFK')
(IPv6Address('2600:9000:26fa::'), 'JFK')
